Country Name,Country Code,Series Name,Series Code,Year,Value
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,6606.70146747184
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,-1.12434934252717
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,11.6859272493228
France,FRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1975,..
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,3207.54465082024
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,0.542203343297047
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,16.9532859334982
Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1975,..
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,6259.20744498342
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,-0.866738910077046
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,5.91033626324104
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1975,..
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,1083.47473343284
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,6.20000000000007
Hungary,HUN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,3.84215991793819
Hungary,HUN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1975,..
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,2127.6375072593
Portugal,PRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,-4.34763155578216
Portugal,PRT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,15.2716857518483
Portugal,PRT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1975,..
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,4299.74561799284
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,-1.47364945070458
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,24.2072876743291
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1975,..
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,7801.45666356443
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,-0.205619193188355
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,9.14314686496535
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1975,..
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,4116.45964933054
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,-2.09016289171086
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,16.9505025668306
Italy,ITA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1975,..
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,6794.61739337861
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,4.3859426596524
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,9.62549578155529
France,FRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1976,..
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,3276.97023260494
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,3.30379140860018
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,17.6248800527481
Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1976,..
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,6659.16546576017
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,4.94925841964529
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,4.24663102299209
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1976,..
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,1248.79851313891
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,3.60000000000056
Hungary,HUN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,5.2283983330866
Hungary,HUN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1976,..
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,2173.28393425975
Portugal,PRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,6.90023142175411
Portugal,PRT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,21.1419048031955
Portugal,PRT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1976,..
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,4138.16778761535
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,2.91026612567198
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,16.5595225588084
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1976,..
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,8592.25353727612
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,5.38803390599543
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,5.74481263549085
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1976,..
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,4042.39482463789
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,7.12538510094043
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,16.6141664725788
Italy,ITA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1976,..
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,7464.90784463001
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,3.5726543667741
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,9.49455467190434
France,FRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1977,..
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,3624.99940255962
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,2.83857436106388
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,24.5380632929205
Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1977,..
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,7711.10232025365
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,3.34721807378358
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,3.73416240635147
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1977,..
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,1388.39509904029
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,7.59999999999965
Hungary,HUN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,3.90889569564822
Hungary,HUN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1977,..
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,2267.37100319478
Portugal,PRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,5.60259657951379
Portugal,PRT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,31.0167490988807
Portugal,PRT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1977,..
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,4681.43993173038
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,2.45775045448153
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,15.8402667458768
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1977,..
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,9452.57651914511
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,4.62418650861058
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,6.5016839947284
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1977,..
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,4614.21004931651
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,2.56050082604729
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,17.13004878665
Italy,ITA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1977,..
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,9166.59011961391
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1978,3.89498063335051
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1978,9.2505584672443
